Date,Open,High,Low,Close,Adj Close,Volume
8/1/2007,132.033478,132.033478,126.639084,127.894264,114.272919,7292629
8/2/2007,127.434349,129.848892,123.908348,124.904823,111.601875,12982978
8/3/2007,128.967392,128.967392,125.316833,125.776741,112.38092,7954288
8/6/2007,124.559891,125.518044,120.957237,124.329933,111.088219,6031651
8/7/2007,125.518044,127.817612,125.518044,126.035446,112.612076,5043129
8/8/2007,127.434349,128.478729,125.901306,126.274986,112.826111,7324059
8/9/2007,127.242714,130.308807,126.322891,127.156487,113.613731,7192530
8/10/2007,124.301186,128.871582,124.301186,128.277527,114.615372,3819510
8/13/2007,129.350647,133.374893,128.421249,132.713776,118.57914,6350483
8/14/2007,133.374893,133.853973,130.500443,132.445496,118.339432,4548574
8/16/2007,126.667824,129.120697,124.559891,126.572006,113.091492,4135362
8/17/2007,126.572006,128.200867,122.336975,122.86396,109.778389,11073059
8/20/2007,126.476196,127.817612,123.429268,124.531143,111.26799,10714724
8/21/2007,124.559891,125.518044,120.372757,121.522545,108.579826,10748528
8/22/2007,121.30217,123.122658,118.063614,118.715157,106.071434,13041513
8/23/2007,120.708115,123.02684,117.469559,118.964279,106.294014,12188194
8/24/2007,120.363182,127.242714,120.363182,125.824654,112.423729,6072260
8/27/2007,127.501419,130.692062,127.501419,129.427307,115.642677,4559621
8/28/2007,130.117172,130.117172,125.786324,127.060669,113.528099,6422601
8/29/2007,126.476196,129.848892,123.601738,129.187775,115.428673,14402381
8/30/2007,130.347137,133.949783,129.159027,130.45253,116.558731,16376053
8/31/2007,130.308807,136.249359,130.308807,134.476776,120.154366,8561200
9/3/2007,134.907944,135.866089,132.646698,134.687561,120.342705,4993435
9/4/2007,134.151001,135.655304,130.701645,132.48381,118.37365,7347725
9/5/2007,134.141418,136.613449,131.650223,133.921051,119.657822,7146176
9/6/2007,134.333054,137.379974,132.225113,136.450562,121.917931,5019688
9/7/2007,136.824249,137.590775,132.637115,133.212006,119.0243,4001104
9/10/2007,131.554413,135.070831,130.538757,134.658829,120.317017,4032153
9/11/2007,134.907944,135.003754,131.516083,132.062225,117.996971,3466946
9/12/2007,132.608368,133.930618,130.500443,131.219055,117.243607,4550515
9/13/2007,131.219055,133.949783,131.151978,133.183273,118.998634,3526294
9/14/2007,134.333054,135.080414,132.08139,132.943726,118.784584,3454568
9/17/2007,133.758163,133.758163,131.94725,133.135361,118.955818,3085853
9/18/2007,133.758163,134.333054,132.637115,133.394058,119.186966,2131042
9/19/2007,134.716309,140.838913,134.141418,138.05069,123.347626,7106453
9/20/2007,139.67955,143.301361,138.740555,140.129868,125.205376,6752282
9/21/2007,137.97403,143.071411,137.97403,141.998276,126.874802,5263026
9/24/2007,143.684616,144.681107,141.423386,143.186386,127.936386,4839931
9/25/2007,143.186386,143.320526,140.48439,141.979111,126.857674,4948906
9/26/2007,141.979111,143.148056,138.261475,141.787476,126.686462,3415816
9/27/2007,143.148056,145.773392,141.806641,143.972076,128.638367,16099339
9/28/2007,144.681107,157.520355,142.209061,148.877808,133.021622,13964773
10/1/2007,154.645889,154.645889,146.597412,148.187943,132.405243,7883735
10/3/2007,149.088608,155.144135,144.125366,151.024078,134.939285,8788418
10/4/2007,153.304474,154.722549,148.973633,153.199081,136.88266,9626312
10/5/2007,153.199081,153.314056,147.555557,149.289825,133.389771,4775275
10/8/2007,149.50061,150.813278,142.764801,146.472855,130.872803,15232838
10/9/2007,142.764801,153.304474,142.764801,152.566696,136.317612,5663959
10/10/2007,148.25502,156.9263,148.25502,154.588409,138.124023,5970012
10/11/2007,155.412415,161.333801,153.323639,159.158798,142.207642,8124417
10/12/2007,159.053391,160.758911,151.206131,153.946442,137.550415,8763929
10/15/2007,154.645889,158.095245,154.645889,156.811325,140.110168,4369453
10/16/2007,160.413971,160.413971,154.262634,157.29039,140.538239,4155672
10/17/2007,148.82991,156.14061,141.998276,154.636307,138.166809,7697095
